"iso_a3","country","gdp_pc"
"ABW","Aruba",
"AFG","Afghanistan",1946.19380603184
"AGO","Angola",7736.17468163313
"ALB","Albania",10374.015637354
"AND","Andorra",
"ARE","United Arab Emirates",
"ARG","Argentina",
"ARM","Armenia",7776.2860430691
"ASM","American Samoa",
"ATG","Antigua and Barbuda",21027.8266399337
"AUS","Australia",43543.8120396093
"AUT","Austria",45492.8236393356
"AZE","Azerbaijan",17143.4792308476
"BDI","Burundi",771.71542954274
"BEL","Belgium",41663.1137428586
"BEN","Benin",1790.75363672991
"BFA","Burkina Faso",1514.18622141102
"BGD","Bangladesh",2948.01488976887
"BGR","Bulgaria",15731.6726237737
"BHR","Bahrain",43714.9532430169
"BHS","Bahamas, The",23264.2722108642
"BIH","Bosnia and Herzegovina",9535.5397905006
"BLR","Belarus",17619.7696564982
"BLZ","Belize",8486.89853967369
"BMU","Bermuda",
"BOL","Bolivia",6131.06168856137
"BRA","Brazil",15037.4574693446
"BRB","Barbados",
"BRN","Brunei Darussalam",71776.6480123078
"BTN","Bhutan",7404.73678431865
"BWA","Botswana",15751.9022060328
"CAF","Central African Republic",603.742959794015
"CAN","Canada",43247.0443447575
"CHE","Switzerland",56564.9359472129
"CHL","Chile",21911.3009745228
"CHN","China",11906.5073908244
"CIV","Cote d'Ivoire",3210.45464438594
"CMR","Cameroon",2830.12953902169
"COD","Congo, Dem. Rep.",809.217533443526
"COG","Congo, Rep.",5868.48055101527
"COL","Colombia",12423.9230431716
"COM","Comoros",1446.17149475964
"CPV","Cabo Verde",6416.317160988
"CRI","Costa Rica",13875.8563536715
"CUB","Cuba",
"CUW","Curacao",
"CYM","Cayman Islands",
"CYP","Cyprus",28224.4574448048
"CZE","Czech Republic",28769.8577721051
"DEU","Germany",44469.4380913625
"DJI","Djibouti",2998.74058570901
"DMA","Dominica",10343.1557312332
"DNK","Denmark",43444.6297130455
"DOM","Dominican Republic",12186.388560558
"DZA","Algeria",13320.2321901285
"ECU","Ecuador",10889.9891270309
"EGY","Egypt, Arab Rep.",11089.2111773151
"ERI","Eritrea",1195.67675726337
"ESP","Spain",32925.4740029116
"EST","Estonia",25461.8507541553
"ETH","Ethiopia",1380.00026448913
"FIN","Finland",39812.3792223133
"FJI","Fiji",7750.43065903864
"FRA","France",37871.8556151032
"FRO","Faeroe Islands",
"FSM","Micronesia, Fed. Sts.",3394.64727547184
"GAB","Gabon",19264.3359398216
"GBR","United Kingdom",38451.6571582051
"GEO","Georgia",7176.44362639204
"GHA","Ghana",3992.09003884754
"GIN","Guinea",1253.08489968023
"GMB","Gambia, The",1661.42355399369
"GNB","Guinea-Bissau",1407.02677224558
"GNQ","Equatorial Guinea",33768.289851408
"GRC","Greece",25705.0373896157
"GRD","Grenada",11645.340600932
"GRL","Greenland",
"GTM","Guatemala",7296.59257319642
"GUM","Guam",
"GUY","Guyana",6545.93223037864
"HKG","Hong Kong SAR, China",53215.9373734741
